smt,#genre#
CCTV-16奥林匹克4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Dce0HD&tk=nG4msMdopWoj
CCTV-4K超高清,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wwrfR0&tk=nG4msMdopWoj
北京卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=oDuNJ8&tk=nG4msMdopWoj
东方卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=csujai&tk=nG4msMdopWoj
江苏卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fJKoEu&tk=nG4msMdopWoj
浙江卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=AA1Z3i&tk=nG4msMdopWoj
山东卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TFz27u&tk=nG4msMdopWoj
湖南卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VgqriN&tk=nG4msMdopWoj
广东卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Se6DuH&tk=nG4msMdopWoj
深圳卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=S8KgkB&tk=nG4msMdopWoj
四川卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=oCyCNF&tk=nG4msMdopWoj
欢笑剧场4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3Gnh9Q&tk=nG4msMdopWoj
翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nHG2Uo&tk=nG4msMdopWoj
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tVNeg9&tk=nG4msMdopWoj
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=f09uRx&tk=nG4msMdopWoj
TVB星河,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Jtm8fN&tk=nG4msMdopWoj
TVB千禧经典台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TnHGv3&tk=nG4msMdopWoj
Now星影(国),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9FtTFA&tk=nG4msMdopWoj
Now爆谷(国),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=RErFL5&tk=nG4msMdopWoj
Now星影台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rD3zWx&tk=nG4msMdopWoj
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FbYynh&tk=nG4msMdopWoj
美亚电影台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wTAtuX&tk=nG4msMdopWoj
天映频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=psfToL&tk=nG4msMdopWoj
天映经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kxQjcO&tk=nG4msMdopWoj
美亚电影(台湾),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=k1mCB3&tk=nG4msMdopWoj
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VGaBMI&tk=nG4msMdopWoj
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=maADrx&tk=nG4msMdopWoj
PopC电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FxiKVQ&tk=nG4msMdopWoj
中视新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ywEtfQ&tk=nG4msMdopWoj
中天新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2mdEnJ&tk=nG4msMdopWoj
TVBS HD,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WaTSc5&tk=nG4msMdopWoj
寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=16rGSf&tk=nG4msMdopWoj
寰宇台湾台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=AUsRKT&tk=nG4msMdopWoj
东森新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=spXUd3&tk=nG4msMdopWoj
东森财经台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=SEpoLe&tk=nG4msMdopWoj
民视综艺台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yq6TGL&tk=nG4msMdopWoj
猪哥亮歌厅秀,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ulWYTi&tk=nG4msMdopWoj
中视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3u2thm&tk=nG4msMdopWoj
中视新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bg6QBu&tk=nG4msMdopWoj
中视经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NMCFTY&tk=nG4msMdopWoj
中视菁采,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zfY3Jp&tk=nG4msMdopWoj
台视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Dp3m74&tk=nG4msMdopWoj
台视新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5ZdbsG&tk=nG4msMdopWoj
台视综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=mpc5MT&tk=nG4msMdopWoj
台视财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=qdTBiW&tk=nG4msMdopWoj
华视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=34j0Px&tk=nG4msMdopWoj
华视新闻资讯,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pAdnfj&tk=nG4msMdopWoj
华视教育体育文化,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yorma0&tk=nG4msMdopWoj
民视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IPIDZn&tk=nG4msMdopWoj
民视新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CNVe2n&tk=nG4msMdopWoj
民视台湾台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OoU2VW&tk=nG4msMdopWoj
民视第一台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7jy0vs&tk=nG4msMdopWoj
公视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HC0SKP&tk=nG4msMdopWoj
公视台语台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kW0Npp&tk=nG4msMdopWoj
小公视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=N5uIod&tk=nG4msMdopWoj
凤凰中文,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5PcvSL&tk=nG4msMdopWoj
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9NpLpO&tk=nG4msMdopWoj
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eN0Sr7&tk=nG4msMdopWoj
港台電視 31,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YfNS5M&tk=nG4msMdopWoj
翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=drF3Mm&tk=nG4msMdopWoj
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7DH4k8&tk=nG4msMdopWoj
無綫新聞台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=JwKYhh&tk=nG4msMdopWoj
明珠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=y6QZ4N&tk=nG4msMdopWoj
HOY 國際財經台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FDJGAF&tk=nG4msMdopWoj
HOY TV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rSMCj9&tk=nG4msMdopWoj
HOY 資訊台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=8iWo80&tk=nG4msMdopWoj
ViuTVsix,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rtqfWG&tk=nG4msMdopWoj
ViuTV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2pVCDg&tk=nG4msMdopWoj
Now直播台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nUcZqt&tk=nG4msMdopWoj
Now新聞台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=RzZm59&tk=nG4msMdopWoj
Now財經台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pO52GV&tk=nG4msMdopWoj
NowSports,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EdHlEh&tk=nG4msMdopWoj
香港卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=k7hetE&tk=nG4msMdopWoj
莲花卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=0idCHB&tk=nG4msMdopWoj
环球电视台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ykxjE2&tk=nG4msMdopWoj
香港环球卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yQKPGN&tk=nG4msMdopWoj
亚洲卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pK0rD0&tk=nG4msMdopWoj
亚太第一卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nSVNNx&tk=nG4msMdopWoj
华文卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5AnLis&tk=nG4msMdopWoj
1905电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7Pje9s&tk=nG4msMdopWoj
重温经典频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nYfvfD&tk=nG4msMdopWoj
Y+剧场,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=PEv0Lo&tk=nG4msMdopWoj
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1q2Zxy&tk=nG4msMdopWoj
翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5KYiO7&tk=nG4msMdopWoj
无线华丽台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=xNyJra&tk=nG4msMdopWoj
明珠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eIjuIh&tk=nG4msMdopWoj
TVB星河,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zgaHtV&tk=nG4msMdopWoj
娱乐新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XsEiD9&tk=nG4msMdopWoj
千禧经典台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=xeuR2k&tk=nG4msMdopWoj
RTHK-31,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HG2oTC&tk=nG4msMdopWoj
RTHK-32,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Dy2BFd&tk=nG4msMdopWoj
VIUTV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=07TLZs&tk=nG4msMdopWoj
VIU6TV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=f2TxjU&tk=nG4msMdopWoj
美亚电影(香港),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Lz8UK2&tk=nG4msMdopWoj
天映频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Fo8BqG&tk=nG4msMdopWoj
天映经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XzEirM&tk=nG4msMdopWoj
Astr爱奇艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CEfnTD&tk=nG4msMdopWoj
AstrQJ,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=A7MXD6&tk=nG4msMdopWoj
Astr-AoD,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EHw0wU&tk=nG4msMdopWoj
AeC,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=x3Jusa&tk=nG4msMdopWoj
Astr,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=K5kwbd&tk=nG4msMdopWoj
TVBPlus,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1EMB3a&tk=nG4msMdopWoj
CCTV1,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CfWwms&tk=nG4msMdopWoj
CCTV2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zXSZ1d&tk=nG4msMdopWoj
CCTV3,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6R3CIc&tk=nG4msMdopWoj
CCTV4,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=29FLcO&tk=nG4msMdopWoj
CCTV5,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jc4dGm&tk=nG4msMdopWoj
CCTV6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bM19p0&tk=nG4msMdopWoj
CCTV7,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TR5og3&tk=nG4msMdopWoj
