新兔兔,#genre#
CCTV1综合,http://111.170.156.74:3344/央视/cctv.php?id=cctv1
CCTV1综合,http://go.061899.xyz/mg/cctv1
CCTV1综合,http://zmgd.zyrnet.com:8888/hls/1/index.m3u8
CCTV2财经,http://111.170.156.74:3344/央视/cctv.php?id=cctv2
CCTV2财经,http://go.061899.xyz/mg/cctv2
CCTV2财经,http://zmgd.zyrnet.com:8888/hls/2/index.m3u8
CCTV3综艺,http://go.061899.xyz/mg/cctv3
CCTV3综艺,http://zmgd.zyrnet.com:8888/hls/3/index.m3u8
CCTV4中文国际,http://111.170.156.74:3344/央视/cctv.php?id=cctv4
CCTV4中文国际,http://go.061899.xyz/mg/cctv4
CCTV4中文国际,http://zmgd.zyrnet.com:8888/hls/4/index.m3u8
CCTV5体育,http://go.061899.xyz/mg/cctv5
CCTV5体育,http://zmgd.zyrnet.com:8888/hls/5/index.m3u8
CCTV5+体育赛事,http://111.170.156.74:3344/央视/cctvapp.php?id=CCTV54d61bd11c9a343b782b3381a3c3f6540H
CCTV5+体育赛事,http://61.157.139.7:8888/hls/17/index.m3u8
CCTV6电影,http://go.061899.xyz/mg/cctv6
CCTV6电影,http://zmgd.zyrnet.com:8888/hls/6/index.m3u8
CCTV7国防军事,http://111.170.156.74:3344/央视/cctv.php?id=cctv7
CCTV7国防军事,http://111.170.156.74:3344/ysp.php?id=CCTV7
CCTV7国防军事,http://go.061899.xyz/mg/cctv7
CCTV8电视剧,http://go.061899.xyz/mg/cctv8
CCTV8电视剧,http://zmgd.zyrnet.com:8888/hls/8/index.m3u8
CCTV9纪录,http://111.170.156.74:3344/央视/cctv.php?id=cctv9
CCTV9纪录,http://go.061899.xyz/mg/cctv9
CCTV9纪录,http://zmgd.zyrnet.com:8888/hls/9/index.m3u8
CCTV10科教,http://111.170.156.74:3344/央视/cctv.php?id=cctv10
CCTV10科教,http://go.061899.xyz/mg/cctv10
CCTV10科教,http://zmgd.zyrnet.com:8888/hls/10/index.m3u8
CCTV11戏曲,http://go.061899.xyz/mg/cctv11
CCTV11戏曲,http://zmgd.zyrnet.com:8888/hls/11/index.m3u8
CCTV12社会与法,http://111.170.156.74:3344/央视/cctv.php?id=cctv12
CCTV12社会与法,http://go.061899.xyz/mg/cctv12
CCTV12社会与法,http://zmgd.zyrnet.com:8888/hls/12/index.m3u8
CCTV13新闻,http://111.170.156.74:3344/央视/cctv.php?id=cctv13
CCTV13新闻,http://go.061899.xyz/mg/cctv13
CCTV13新闻,http://zmgd.zyrnet.com:8888/hls/13/index.m3u8
CCTV14少儿,http://go.061899.xyz/mg/cctv14
CCTV14少儿,http://zmgd.zyrnet.com:8888/hls/14/index.m3u8
CCTV15音乐,http://go.061899.xyz/mg/cctv15
CCTV15音乐,http://zmgd.zyrnet.com:8888/hls/15/index.m3u8
CCTV16奥林匹克,http://go.061899.xyz/mg/cctv16
CCTV17农业农村,http://111.170.156.74:3344/央视/cctv.php?id=cctv17
CCTV17农业农村,http://go.061899.xyz/mg/cctv17
CCTV17农业农村,http://zmgd.zyrnet.com:8888/hls/17/index.m3u8
CCTV4K超高清,http://111.170.156.74:3344/央视/cctv.php?id=cctv4k
CETV1,http://zmgd.zyrnet.com:8888/hls/16/index.m3u8
CETV1,http://111.170.156.74:3344/ysp.php?id=CETV1
CETV4,http://zmgd.zyrnet.com:8888/hls/70/index.m3u8
北京卫视,http://go.bkpcp.top/mg/bjws
北京卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=b2e730bcb7e8468ea028135c602a561d
北京卫视,http://go.061899.xyz/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
东方卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=b03d633a64f14712b1b78ad5336fac2c
东方卫视,http://go.061899.xyz/mg/dfws
江苏卫视,http://go.bkpcp.top/mg/jsws
江苏卫视,http://111.170.156.74:3344/地方频道/jiangsu/jiangsu.php?id=jsws
江苏卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=f485de429c064333b7cce20c6bbbc905
江苏卫视,http://go.061899.xyz/mg/jsws
浙江卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=0b0936946bd7416fa80aaeb4072f369a
湖南卫视,http://go.061899.xyz/mg/hunws
湖北卫视,http://111.170.156.74:3344/湖北/cjy.php?id=hbws
湖北卫视,http://go.bkpcp.top/mg/hubws
湖北卫视,http://111.170.156.74:3344/湖北/cjy.php?id=hbws
湖北卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=894c6f103e094ab58f51cf0f96870a3d
湖北卫视,http://go.061899.xyz/mg/hubws
广东卫视,http://go.bkpcp.top/mg/gdws
广东卫视,http://111.170.156.74:3344/广东地方/gdtv.php?id=43
广东卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=6766ec7717d64744bdbfd1c2068ebae6
广东卫视,http://go.061899.xyz/mg/gdws
广西卫视,http://go.bkpcp.top/mg/gxws
广西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=d45e1b2dbae6465a9b2e7a14f7749119
黑龙江卫视,http://go.bkpcp.top/mg/hljws
黑龙江卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=c77741c71cbb4f61bc9876826e267b51
黑龙江卫视,http://zmgd.zyrnet.com:8888/hls/63/index.m3u8
黑龙江卫视,http://zmgd.zyrnet.com:8888/hls/63/index.m3u8
黑龙江卫视,http://go.061899.xyz/mg/hljws
海南卫视,http://go.bkpcp.top/mg/hinws
海南卫视,http://111.170.156.74:3344/地方频道/hainan/hainan.php?id=hnws
海南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=54e5f81a605e428188bf7ff21c0df64c
海南卫视,http://go.061899.xyz/mg/hinws
重庆卫视,http://go.bkpcp.top/mg/cqws
深圳卫视,http://go.bkpcp.top/mg/szws
深圳卫视,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szws
四川卫视,http://go.bkpcp.top/mg/scws
四川卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=90edcdb6a18446d594228039a519b779
四川卫视,http://go.061899.xyz/mg/scws
四川卫视,http://183.221.92.176:50080/hls/16/index.m3u8
四川卫视,http://61.157.139.7:8888/hls/18/index.m3u8
河南卫视,http://go.bkpcp.top/mg/hnws
河南卫视,http://111.170.156.74:3344/河南频道/hntv.php?id=hnws
河南卫视,http://111.170.156.74:3344/地方频道/henan/henan.php?id=hnws
河南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=47ebcda850e74c83897dd90ca72db658
河南卫视,http://go.061899.xyz/mg/hnws
贵州卫视,http://go.bkpcp.top/mg/gzws
贵州卫视,http://111.170.156.74:3344/地方频道/guizhou/guizhou.php?id=gzws
贵州卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=d6fc64f8f5e34444ba703bb79fda5da8
江西卫视,http://go.bkpcp.top/mg/jxws
江西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=0621912339cf40109a945afafc3069e2
江西卫视,http://go.061899.xyz/mg/jxws
辽宁卫视,http://go.bkpcp.top/mg/lnws
辽宁卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=196d1fb7186845c8ab06945beb60f428
安徽卫视,http://go.bkpcp.top/mg/ahws
安徽卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=633fd677b4ce40ad85b127db4307921a
河北卫视,http://go.bkpcp.top/mg/hbws
河北卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=39f6908c16d74aeab67c78eeb37e17dd
河北卫视,http://go.061899.xyz/mg/hbws
山东卫视,http://go.bkpcp.top/mg/sdws
山东卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=15d651d2389d46ba86eda710fcc1f68b
天津卫视,http://go.bkpcp.top/mg/tjws
天津卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=f34309e518fb41579c46cbef4d56c51d
陕西卫视,http://go.bkpcp.top/mg/sxws
陕西卫视,http://111.170.156.74:3344/地方频道/shanxi2/shanxi.php?id=sxws
陕西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=63fbcee70e0140c991541b5412c9552d
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
内蒙古卫视,http://111.170.156.74:3344/地方频道/neimeng/neimeng.php?id=nmws
内蒙古卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=74dd173b302c4aa9abf142e4034e0c87
内蒙古卫视,http://go.061899.xyz/mg/nmgws
甘肃卫视,http://go.bkpcp.top/mg/gsws
甘肃卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=dc13ed51077a4200a8a41e5e02457fdb
甘肃卫视,http://go.061899.xyz/mg/gsws
宁夏卫视,http://go.bkpcp.top/mg/nxws
宁夏卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=782bc32aad614b6c9c078fd7bea95488
山西卫视,http://go.bkpcp.top/mg/sxiws
山西卫视,http://111.170.156.74:3344/地方频道/shanxi/shanxi.php?id=sxws
山西卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=39c3c7226f754f3e9cbebd8b5f0996ee
云南卫视,http://go.bkpcp.top/mg/ynws
云南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=f79e9c261fda4c3ba35d075a51814bbd
云南卫视,http://zmgd.zyrnet.com:8888/hls/62/index.m3u8
吉林卫视,http://go.bkpcp.top/mg/jlws
吉林卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=0bb934949fe549e9be4ea3ff519eaec4
吉林卫视,http://go.061899.xyz/mg/jlws
青海卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=49718a9c8d364f6b8c6e666739e90780
西藏卫视,http://go.bkpcp.top/mg/xzws
西藏卫视,http://111.170.156.74:3344/地方频道/xizang/xizang.php?id=xzws
西藏卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=c52bd0a9ac294559841fa39d28d2c195
西藏卫视,http://go.061899.xyz/mg/xzws
新疆卫视,http://go.bkpcp.top/mg/xjws
新疆卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=95b30ad2b3c14b32ac7f915769d080bb
兵团卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=16bcdb12d690488286ffec580c9ca249
东南卫视,http://go.bkpcp.top/mg/dnws
东南卫视,http://111.170.156.74:3344/标清卫视/xxqg.php?id=74cd6a0403ff4ce7829f04d4cdf4c0a5
东南卫视,http://111.170.156.74:3344/ysp.php?id=东南卫视
大湾区卫视,http://go.bkpcp.top/mg/dwqws
大湾区卫视,http://go.061899.xyz/mg/dwqws
三沙卫视,http://111.170.156.74:3344/地方频道/hainan/hainan.php?id=ssws
延边卫视,http://111.170.156.74:3344/地方频道/jilin/jilin.php?id=ybws
农林卫视,http://111.170.156.74:3344/地方频道/shanxi2/shanxi.php?id=nlws
海峡卫视,http://111.170.156.74:3344/地方频道/fujian/haibo.php?id=hxws
海峡卫视,http://go.061899.xyz/mg/hxws
藏语卫视,http://111.170.156.74:3344/地方频道/xizang/xizang.php?id=xzzy
内蒙古蒙古语卫视,http://111.170.156.74:3344/地方频道/neimeng/neimeng.php?id=nmmyws
CCTV4K超高清,http://111.170.156.74:3344/央视/cctv.php?id=cctv4k
CCTV4K超高清,http://111.170.156.74:3344/ysp.php?id=CCTV4K
CCTV4K超高清,http://s.morefun.cn/cs1222/ysxw/cctv.php?id=cctv4k
CCTV4K超高清,http://111.170.156.74:3344/央卫频道/gitv.php?id=cctv4k
深圳卫视4K,https://cdn3.163189.xyz/163189/szws4k
四川卫视,http://go.bkpcp.top/mg/scws4k
北京卫视,http://go.bkpcp.top/mg/bjws4k
东方卫视4K,http://go.bkpcp.top/mg/dfws
浙江卫视4K,http://go.bkpcp.top/mg/zjws
湖南卫视4K,http://go.bkpcp.top/mg/hunws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
江苏卫视,http://go.bkpcp.top/mg/jsws4k
广东卫视,http://go.bkpcp.top/mg/gdws4k
广东卫视4K超高清,http://go.061899.xyz/mg/gdws
广东卫视4K超高清,http://140.210.9.53:8800/SuanFaZhibo/live6/zgst.php?id=gd4k
广东卫视4K超高清,http://8.140.57.83:88/zgst.php?t=3&column=350&id=93733
广东卫视4K超高清,http://s.morefun.cn/cs567/zgst/zgst.php?t=2&column=350&id=93733
北京卫视4K超高清,http://140.210.9.53:8800/SuanFaZhibo/live6/zgst.php?id=btv4k
北京卫视4K超高清,http://8.140.57.83:88/zgst.php?t=3&column=350&id=91417
北京卫视4K超高清,http://s.morefun.cn/cs567/zgst/zgst.php?t=3&column=350&id=91417
东方卫视4K超高清,http://go.061899.xyz/mg/dfws
东方卫视4K超高清,http://8.140.57.83:88/zgst.php?t=1&column=350&id=96050
江苏卫视4K超高清,http://140.210.9.53:8800/SuanFaZhibo/live6/zgst.php?id=js4k
江苏卫视4K超高清,http://8.140.57.83:88/zgst.php?t=1&column=350&id=95925
山东卫视4K超高清,http://140.210.9.53:8800/SuanFaZhibo/live6/zgst.php?id=sd4k
山东卫视4K超高清,http://8.140.57.83:88/zgst.php?t=1&column=350&id=95975
湖南卫视4K超高清,http://140.210.9.53:8800/SuanFaZhibo/live6/zgst.php?id=hn4k
