组播,#genre#
九画面,http://220.167.170.158:4000/rtp/239.120.1.131:8268
青海都市,http://220.167.170.158:4000/rtp/239.120.1.41:8220
青海经视,http://220.167.170.158:4000/rtp/239.120.1.42:8226
海东综合频道,http://220.167.170.158:4000/rtp/239.120.1.102:8328
海北电视台,http://220.167.170.158:4000/rtp/239.120.1.123:8266
海西电视台,http://220.167.170.158:4000/rtp/239.120.1.184:9160
西宁生活服务,http://220.167.170.158:4000/rtp/239.120.1.248:9440
西宁新闻综合,http://220.167.170.158:4000/rtp/239.120.1.249:9444
上海欢笑剧场,http://220.167.170.158:4000/rtp/239.120.1.216:9316
上海欢笑剧场,http://220.167.170.158:4000/rtp/239.120.1.186:8378
上海游戏风云,http://220.167.170.158:4000/rtp/239.120.1.215:9312
上海乐游频道,http://220.167.170.158:4000/rtp/239.120.1.217:9320
上海动漫秀场,http://220.167.170.158:4000/rtp/239.120.1.219:9328
上海生活时尚,http://220.167.170.158:4000/rtp/239.120.1.220:9332
上海都市剧场,http://220.167.170.158:4000/rtp/239.120.1.221:9336
上海东方财经,http://220.167.170.158:4000/rtp/239.120.1.55:8304
上海法治天地,http://220.167.170.158:4000/rtp/239.120.1.54:8298
上海金色学堂,http://220.167.170.158:4000/rtp/239.120.1.69:8374
金鹰纪实,http://220.167.170.158:4000/rtp/239.120.1.73:8412
快乐垂钓,http://220.167.170.158:4000/rtp/239.120.1.225:9346
哈哈炫动,http://220.167.170.158:4000/rtp/239.120.1.140:8898
金鹰卡通,http://220.167.170.158:4000/rtp/239.120.1.139:8892
卡酷少儿,http://220.167.170.158:4000/rtp/239.120.1.138:8886
嘉佳卡通,http://220.167.170.158:4000/rtp/239.120.1.108:8640
CETV1,http://220.167.170.158:4000/rtp/239.120.1.133:8856
CETV2,http://220.167.170.158:4000/rtp/239.120.1.44:8238
CETV4,http://220.167.170.158:4000/rtp/239.120.1.45:8244
天元围棋,http://220.167.170.158:4000/rtp/239.120.1.59:8320
中国天气,http://220.167.170.158:4000/rtp/239.120.1.241:9408
海北电视台,http://220.167.170.158:4000/rtp/239.120.1.200:8404
久治,http://220.167.170.158:4000/rtp/239.120.1.34:9534
青海油田,http://220.167.170.158:4000/rtp/239.120.1.144:8416
矿区生活,http://220.167.170.158:4000/rtp/239.120.1.145:8420
黄河电视台,http://110.178.145.93:8188/udp/239.1.1.2:8002
山西经济与科技,http://110.178.145.93:8188/udp/239.1.1.3:8003
山西影视,http://110.178.145.93:8188/udp/239.1.1.4:8004
山西社会与法治,http://110.178.145.93:8188/udp/239.1.1.5:8005
山西文体生活,http://110.178.145.93:8188/udp/239.1.1.6:8006
晋中综合频道,http://110.178.145.93:8188/udp/239.1.1.120:8120
晋中公共频道,http://110.178.145.93:8188/udp/239.1.1.121:8121
运城1台,http://110.178.145.93:8188/udp/239.1.1.123:8123
运城2台,http://110.178.145.93:8188/udp/239.1.1.124:8124
盐湖频道,http://110.178.145.93:8188/udp/239.1.1.125:8125
凤凰资讯,http://110.178.145.93:8188/udp/239.1.1.127:8127
上海动漫秀场,http://110.178.145.93:8188/udp/239.1.1.80:8080
上海都市剧场,http://110.178.145.93:8188/udp/239.1.1.81:8081
上海生活时尚,http://110.178.145.93:8188/udp/239.1.1.76:8076
上海法治天地,http://110.178.145.93:8188/udp/239.1.1.79:8079
上海金色学堂,http://110.178.145.93:8188/udp/239.1.1.82:8082
上海游戏风云,http://110.178.145.93:8188/udp/239.1.1.83:8083
上海乐游纪实,http://110.178.145.93:8188/udp/239.1.1.84:8084
上海东方财经,http://110.178.145.93:8188/udp/239.1.1.85:8085
湖南金鹰纪实,http://110.178.145.93:8188/udp/239.1.1.63:8063
湖南快乐垂钓,http://110.178.145.93:8188/udp/239.1.1.86:8086
湖南茶频道,http://110.178.145.93:8188/udp/239.1.1.77:8077
CETV1,http://110.178.145.93:8188/rtp/239.1.1.65:8065
CETV2,http://110.178.145.93:8188/rtp/239.1.1.66:8066
CETV4,http://110.178.145.93:8188/rtp/239.1.1.67:8067
金鹰卡通,http://110.178.145.93:8188/rtp/239.1.1.61:8061
卡酷少儿,http://110.178.145.93:8188/rtp/239.1.1.62:8062
嘉佳卡通,http://110.178.145.93:8188/rtp/239.1.1.68:8068
哈哈炫动,http://110.178.145.93:8188/rtp/239.1.1.64:8064
优漫卡通,http://110.178.145.93:8188/rtp/239.1.1.72:8072
江苏城市频道,http://114.226.212.136:8787/rtp/239.49.8.107:8000
江苏综艺频道,http://114.226.212.136:8787/rtp/239.49.8.108:8000
江苏体育休闲,http://114.226.212.136:8787/rtp/239.49.8.117:8000
江苏影视频道,http://114.226.212.136:8787/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.226.212.136:8787/rtp/239.49.8.119:8000
江苏新闻频道,http://114.226.212.136:8787/rtp/239.49.8.120:8000
江苏教育频道,http://114.226.212.136:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.136:8787/rtp/239.49.1.23:6000
江苏财富天下,http://114.226.212.136:8787/rtp/239.49.1.29:6000
南京新闻综合,http://114.226.212.136:8787/rtp/239.49.0.25:8192
南京科教频道,http://114.226.212.136:8787/rtp/239.49.0.183:9434
南京生活频道,http://114.226.212.136:8787/rtp/239.49.0.26:8200
GCTN英语,http://114.226.212.136:8787/rtp/239.49.0.9:8064
四川影视文艺,http://171.213.134.86:8188/udp/239.93.0.166:5140
四川经济频道,http://171.213.134.86:8188/udp/239.93.1.101:5140
四川新闻频道,http://171.213.134.86:8188/udp/239.93.0.47:5140
四川乡村频道,http://171.213.134.86:8188/udp/239.93.0.52:5140
四川文化旅游,http://171.213.134.86:8188/udp/239.93.1.102:5140
四川科教频道,http://171.213.134.86:8188/udp/239.93.42.44:5140
四川峨眉电影,http://171.213.134.86:8188/udp/239.93.0.252:5140
四川妇女儿童,http://171.213.134.86:8188/udp/239.93.0.219:5140
凤凰中文,http://171.213.134.86:8188/udp/239.93.0.162:2192
凤凰资讯,http://171.213.134.86:8188/udp/239.93.0.118:2191
成都综合频道,http://171.213.134.86:8188/udp/239.93.0.16:5140
成都经济频道,http://171.213.134.86:8188/udp/239.93.0.17:1239
